Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,type,Gene_Symbol
ENSG00000107593,3.326262059,0.195678209,0.222458428,0.882451277,0.377532817,0.606809531,Not significant,PKD2L1
ENSG00000231188,9.587956298,0.223074418,0.266021158,0.837659092,0.402222195,0.628672062,Not significant,
ENSG00000099194,35483.15351,-0.213060324,0.104262937,-2.04349039,0.041003918,0.138029303,Not significant,SCD
ENSG00000235823,926.0553708,-0.317695536,0.113877192,-2.789727666,0.005275239,0.027529968,Not significant,OLMALINC
ENSG00000075290,5.463343119,0.028728695,0.252936465,0.113554064,0.909591303,0.957383055,Not significant,WNT8B
ENSG00000075826,571.1531388,0.114413169,0.127691707,0.896008832,0.370248046,0.60094187,Not significant,SEC31B
ENSG00000255339,47.33711654,-0.040369102,0.229645193,-0.175836192,0.860422635,0.935629706,Not significant,
ENSG00000166135,1883.63809,-0.161065072,0.110044957,-1.463628734,0.143295417,0.336639602,Not significant,HIF1AN
ENSG00000075891,5.761000167,0.546886508,0.25161605,2.158357217,0.030900069,0.112026159,Not significant,PAX2
ENSG00000272572,8.276307856,-0.100705744,0.264744192,-0.380231483,0.703773591,0.848819372,Not significant,
ENSG00000119906,1665.662882,-0.327931155,0.117312798,-2.795313318,0.005184944,0.027132689,Not significant,SLF2
ENSG00000273476,1.992702505,-0.305039654,0.192563243,-1.597667573,0.110116979,0.2800208,Not significant,
ENSG00000055950,658.2905946,0.057483642,0.11976272,0.47997908,0.631242269,0.802117173,Not significant,MRPL43
ENSG00000107815,1691.126528,0.274976662,0.119604647,2.299022707,0.02150365,0.08496884,Not significant,TWNK
ENSG00000107816,2884.86823,-0.047901815,0.118072425,-0.405699038,0.68496375,0.837284521,Not significant,LZTS2
ENSG00000186862,25.83389843,0.672737346,0.249971065,2.676191151,0.007446416,0.036389568,Not significant,PDZD7
ENSG00000107819,209.1881236,0.746930478,0.147961117,5.043405119,4.57E-07,6.77E-06,Not significant,SFXN3
ENSG00000273162,136.1175147,0.260091869,0.166965751,1.557542222,0.119341804,0.296425898,Not significant,LOC107984262
ENSG00000107821,294.7528688,1.072415364,0.142918583,7.493191905,6.72E-14,2.44E-12,Up,KAZALD1
ENSG00000236311,2.495730377,-0.254655954,0.207821798,-1.23387555,0.217249282,0.438544671,Not significant,TLX1NB
ENSG00000107807,88.59784417,-2.178818169,0.199345498,-10.57552022,3.87E-26,4.34E-24,Down,TLX1
ENSG00000227128,2.816234946,0.308780337,0.212698162,1.463252767,0.143398227,0.336705953,Not significant,LBX1-AS1
ENSG00000166167,1223.110495,-0.349839047,0.119926457,-2.917039226,0.003533713,0.019768882,Not significant,BTRC
ENSG00000166171,368.0086113,-0.007412611,0.147693876,-0.050189644,0.959971264,0.983863502,Not significant,DPCD
ENSG00000107829,638.4896698,-0.324489599,0.127642917,-2.542049825,0.011020446,0.050243614,Not significant,FBXW4
ENSG00000286489,102.7828281,0.070086319,0.178160208,0.393363471,0.694051046,0.843625948,Not significant,
ENSG00000224817,229.2932592,0.272293917,0.146298516,1.86099567,0.062744788,0.188193414,Not significant,LINC03046
ENSG00000107831,10.45978296,0.328182366,0.267355991,1.225645078,0.220332266,0.441906542,Not significant,FGF8
ENSG00000107833,1712.250436,0.231633565,0.109751341,2.110516571,0.034813885,0.12235446,Not significant,NPM3
ENSG00000198408,10839.24086,-0.124138513,0.113656414,-1.09222651,0.274733553,0.505713977,Not significant,OGA
ENSG00000226009,166.0994058,-0.23550441,0.16106746,-1.462054124,0.143726379,0.337130832,Not significant,KCNIP2-AS1
ENSG00000120049,414.6200988,-0.347537342,0.135888348,-2.557314035,0.010548394,0.04843745,Not significant,KCNIP2
ENSG00000120029,157.2513541,-0.362495375,0.163476832,-2.216859811,0.026632673,0.099847537,Not significant,ARMH3
ENSG00000166189,490.9178576,-0.003271587,0.124503897,-0.026277341,0.979036128,0.99571616,Not significant,HPS6
ENSG00000198728,9893.432781,-0.263539199,0.110003418,-2.395733796,0.016587132,0.069104265,Not significant,LDB1
ENSG00000148840,2976.782413,-0.089433888,0.106350518,-0.840935864,0.400383866,0.627088846,Not significant,PPRC1
ENSG00000166197,9594.335353,0.100856405,0.113720628,0.886878962,0.375144069,0.604661926,Not significant,NOLC1
ENSG00000119915,68.55051122,1.415092856,0.216442335,6.462159325,1.03E-10,2.68E-09,Up,ELOVL3
ENSG00000107859,34.07025545,1.163754027,0.247861007,4.629893229,3.66E-06,4.61E-05,Up,PITX3
ENSG00000107862,4583.664542,-0.075131121,0.105343013,-0.71320516,0.475718814,0.690211968,Not significant,GBF1
ENSG00000077150,1429.174606,0.659901993,0.117407449,5.620130774,1.91E-08,3.56E-07,Not significant,NFKB2
ENSG00000059915,198.7896328,1.087218093,0.152050787,7.134082232,9.74E-13,3.17E-11,Up,PSD
ENSG00000107872,605.7920925,0.056763721,0.126156353,0.449947411,0.65274836,0.815243604,Not significant,FBXL15
ENSG00000107874,1237.508642,0.096974774,0.110769051,0.875469225,0.381318648,0.610488132,Not significant,CUEDC2
ENSG00000269609,574.8391651,0.038030614,0.120886084,0.314601262,0.753064421,0.876706104,Not significant,C10orf95-AS1
ENSG00000138111,4.302970445,0.059070561,0.239399226,0.246708042,0.805134182,0.906100112,Not significant,MFSD13A
ENSG00000138107,2523.2123,-0.132025892,0.121881177,-1.083234753,0.278704238,0.510080922,Not significant,ACTR1A
ENSG00000107882,882.2905629,0.099274394,0.110138853,0.901356643,0.367398726,0.598135747,Not significant,SUFU
ENSG00000272933,168.0416516,-0.134633038,0.171362423,-0.78568791,0.432050348,0.655075787,Not significant,TRIM8-DT
ENSG00000171206,1192.333693,0.012667804,0.111569482,0.113542346,0.909600593,0.957383055,Not significant,TRIM8
ENSG00000138175,536.0037524,-0.293638259,0.118928218,-2.468914708,0.013552352,0.059236434,Not significant,ARL3
ENSG00000156398,910.64112,0.333639199,0.10924184,3.054014965,0.002258008,0.013679017,Not significant,SFXN2
ENSG00000166272,1290.483475,0.000672569,0.114776922,0.00585981,0.995324575,0.999925548,Not significant,WBP1L
ENSG00000148795,2.485055156,0.180245665,0.207654927,0.871093227,0.383703252,0.612230631,Not significant,CYP17A1
ENSG00000213061,13.78478024,-0.191717353,0.267549668,-0.71647837,0.473696019,0.688636411,Not significant,PFN1P11
ENSG00000282772,34.44402355,-0.596667393,0.238235801,-2.49668951,0.012535867,0.055565035,Not significant,
ENSG00000270316,44.98321848,0.22062013,0.220519989,1.000177013,0.317224852,0.550210797,Not significant,BORCS7-ASMT
ENSG00000286575,11.46828557,0.261748107,0.267597486,0.977681525,0.328231862,0.56087425,Not significant,LOC107984265
ENSG00000148842,831.9043716,0.080614192,0.115083139,0.700489,0.483621972,0.696718852,Not significant,CNNM2
ENSG00000076685,1697.366463,0.05494104,0.117552109,0.467377914,0.640229522,0.807641721,Not significant,NT5C2
ENSG00000156374,1184.693213,0.168236009,0.113439589,1.483035771,0.138064907,0.328123739,Not significant,PCGF6
ENSG00000148835,759.2528382,-0.089424919,0.118133526,-0.756983279,0.44905988,0.669771383,Not significant,TAF5
ENSG00000173915,2444.987899,0.138603255,0.10132199,1.367946924,0.17132869,0.377358168,Not significant,ATP5MK
ENSG00000148843,7392.142796,0.216970105,0.111612486,1.943957442,0.051900583,0.163769789,Not significant,PDCD11
ENSG00000138172,189.6099937,-0.042520013,0.157160359,-0.270566175,0.786724715,0.895539507,Not significant,CALHM2
ENSG00000107954,39.26738423,1.090026381,0.236987855,4.548076606,5.41E-06,6.55E-05,Up,NEURL1
ENSG00000107957,986.8443683,0.203232014,0.122765816,1.655436967,0.097835892,0.259084146,Not significant,SH3PXD2A
ENSG00000107960,512.7497648,-0.167815229,0.129808789,-1.292777339,0.19608808,0.412233477,Not significant,STN1
ENSG00000065613,4842.235312,-0.000632968,0.107869664,-0.005867907,0.995318114,0.999925548,Not significant,SLK
ENSG00000065618,7.489511495,0.024590295,0.262456101,0.093746116,0.925310837,0.964778673,Not significant,COL17A1
ENSG00000156384,302.4872495,-0.234438614,0.138077475,-1.697792692,0.089546896,0.243244895,Not significant,SFR1
ENSG00000197748,75.17368629,0.236205262,0.195212806,1.209740409,0.226378519,0.449431969,Not significant,CFAP43
ENSG00000148834,4287.784687,0.122713294,0.103360844,1.187231289,0.235136402,0.461003775,Not significant,GSTO1
ENSG00000266852,13.54778931,0.15016114,0.267548605,0.561801629,0.574251182,0.764179751,Not significant,MIR4482
ENSG00000065621,200.5553851,1.361661615,0.150992911,8.983042793,2.63E-19,1.65E-17,Up,GSTO2
ENSG00000148841,1305.624758,0.265690684,0.117901621,2.25346812,0.024229649,0.093289019,Not significant,ITPRIP
ENSG00000231233,57.13702687,0.164581104,0.262164288,0.627784035,0.530145426,0.73388045,Not significant,CFAP58-DT
